session_id,start_time,end_time,duration,src_ip,src_port,dst_port,protocol,total_connexion,login_success,login_failed,avg_time_between_failed,is_business_hours,label
404b1a1061cc,2025-01-07T05:43:37Z,2025-01-07T05:45:16.530000Z,99.53,139.176.19.34,37772,22,ssh,2,1,0,0,False,1
cdcd3342c1e9,2025-01-09T11:54:33Z,2025-01-09T12:00:38.600000Z,365.6,201.100.78.150,55479,22,ssh,1,1,0,0,True,1
737ad665212b,2025-01-12T10:38:11Z,2025-01-12T10:41:34.850000Z,203.85,60.239.196.75,50726,22,ssh,1,1,0,0,True,1
c35f712a075b,2025-01-27T11:16:55Z,2025-01-27T11:26:42.100000Z,587.1,157.156.8.44,18274,22,ssh,2,1,0,0,True,1
b182232f6dc1,2025-01-09T00:58:32Z,2025-01-09T01:02:38.310000Z,246.31,62.187.194.224,60362,22,ssh,3,1,0,0,False,1
cf6faed46ab9,2025-01-19T02:38:04Z,2025-01-19T02:39:02.810000Z,58.81,163.58.253.41,33010,22,ssh,3,1,0,0,False,1
6892cdc38a8c,2025-01-23T20:32:20Z,2025-01-23T20:39:10.410000Z,410.41,215.253.118.184,45176,22,ssh,3,1,0,0,False,1
be0fcfb1c267,2025-01-28T23:56:25Z,2025-01-29T00:01:20.810000Z,295.81,14.254.185.80,51274,22,ssh,2,1,0,0,False,1
d05de3e3f21a,2025-01-06T13:14:29Z,2025-01-06T13:21:39.380000Z,430.38,206.52.252.244,20471,22,ssh,2,1,0,0,True,1
9f07fc2d7a17,2025-01-25T04:42:58Z,2025-01-25T04:47:34.010000Z,276.01,38.49.175.237,9619,22,ssh,2,1,0,0,False,1
af9da9c37128,2025-01-09T18:40:27Z,2025-01-09T18:44:16.340000Z,229.34,211.121.153.158,8986,22,ssh,2,1,0,0,False,1
887a14219a41,2025-01-21T06:37:11Z,2025-01-21T06:37:36.610000Z,25.61,3.18.254.119,45246,22,ssh,1,1,0,0,False,1
3195379864d9,2025-01-01T22:14:05Z,2025-01-01T22:15:05.910000Z,60.91,20.154.129.119,59909,22,ssh,3,1,0,0,False,1
120252142e2a,2025-01-18T00:40:06Z,2025-01-18T00:41:58.300000Z,112.3,46.178.162.243,56979,22,ssh,1,1,0,0,False,1
d87442854664,2025-01-19T01:02:41Z,2025-01-19T01:06:07.660000Z,206.66,2.159.103.236,56195,22,ssh,3,1,0,0,False,1
b896c9554fca,2025-01-29T01:18:42Z,2025-01-29T01:19:28.170000Z,46.17,86.49.2.158,2371,22,ssh,2,1,0,0,False,1
c70bad003b3b,2025-01-23T06:48:13Z,2025-01-23T06:55:42.550000Z,449.55,121.68.230.163,44852,22,ssh,1,1,0,0,False,1
c795b5c17f7b,2025-01-07T19:12:23Z,2025-01-07T19:15:43.670000Z,200.67,239.206.28.25,47139,22,ssh,1,1,0,0,False,1
1e22392c2f88,2025-01-25T12:08:05Z,2025-01-25T12:17:26.860000Z,561.86,211.123.233.96,28127,22,ssh,1,1,0,0,True,1
8f530e25ea2d,2025-01-06T08:13:25Z,2025-01-06T08:14:15.680000Z,50.68,135.78.30.208,36531,22,ssh,1,1,0,0,True,1
cd2e3de90804,2025-01-08T06:25:37Z,2025-01-08T06:30:45.300000Z,308.3,108.113.206.141,10012,22,ssh,1,1,0,0,False,1
2518700b8fd1,2025-01-14T03:14:14Z,2025-01-14T03:15:59.830000Z,105.83,6.115.191.30,2294,22,ssh,1,1,0,0,False,1
bb7ec502751a,2025-01-29T12:01:39Z,2025-01-29T12:04:29.920000Z,170.92,181.175.71.203,21252,22,ssh,3,1,0,0,True,1
5578c01e3376,2025-01-03T01:19:28Z,2025-01-03T01:28:22.870000Z,534.87,26.92.51.62,49263,22,ssh,1,1,0,0,False,1
96e964668e1a,2025-01-18T01:06:07Z,2025-01-18T01:07:12.840000Z,65.84,175.135.63.128,2891,22,ssh,2,1,0,0,False,1
af0a7cdb4e40,2025-01-22T14:00:07Z,2025-01-22T14:03:59.010000Z,232.01,7.58.157.89,64590,22,ssh,2,1,0,0,True,1
